Artist,Albums,MeanRating,MedianRating,MeanFirstImpressions,MedianFirstImpressions,Difference
Killer Mike,1,10.0,10.0,10.0,10.0,0.0
Metallica,1,9.5,9.5,9.5,9.5,0.0
50 Cent,1,9.5,9.5,9.5,9.5,0.0
Common,3,9.166666666666666,9.0,8.833333333333334,9.0,0.33333333333333215
MAVI,1,9.0,9.0,9.0,9.0,0.0
Lil Tecca,1,9.0,9.0,8.5,8.5,0.5
Slipknot,1,9.0,9.0,9.0,9.0,0.0
El-P,1,9.0,9.0,9.0,9.0,0.0
Denzel Curry,1,9.0,9.0,9.0,9.0,0.0
Injury Reserve,4,9.0,9.0,8.875,9.0,0.125
The Notorious B.I.G,1,9.0,9.0,9.0,9.0,0.0
Mos Def,2,9.0,9.0,8.75,8.75,0.25
Logic,1,9.0,9.0,9.0,9.0,0.0
Ski Mask The Slump God,1,9.0,9.0,9.0,9.0,0.0
Lupe Fiasco,8,8.8125,8.75,8.75,8.75,0.0625
Jay-Z,2,8.75,8.75,8.75,8.75,0.0
billy woods,3,8.666666666666666,8.5,8.666666666666666,8.5,0.0
Nas,3,8.666666666666666,8.5,8.5,8.5,0.16666666666666607
Charli xcx,1,8.5,8.5,8.5,8.5,0.0
Outkast,4,8.5,8.5,8.5,8.5,0.0
Mach-Hommy,1,8.5,8.5,8.5,8.5,0.0
Mike Dimes,1,8.5,8.5,8.5,8.5,0.0
Cordae,1,8.5,8.5,8.5,8.5,0.0
Westside Gunn,2,8.5,8.5,8.25,8.25,0.25
Lil Uzi Vert,1,8.5,8.5,8.5,8.5,0.0
IDK,5,8.5,8.5,8.8,8.5,-0.3000000000000007
Ms. Lauryn Hill,1,8.5,8.5,8.0,8.0,0.5
Joey Valence and Brae,1,8.5,8.5,8.5,8.5,0.0
Redveil,4,8.25,8.25,8.25,8.25,0.0
Vince Staples,4,8.25,8.25,8.5,8.5,-0.25
Wu-Tang Clan,2,8.25,8.25,8.5,8.5,-0.25
A Tribe Called Quest,2,8.25,8.25,8.25,8.25,0.0
A$AP Rocky,2,8.0,8.0,8.0,8.0,0.0
Rage Against The Machine,2,8.0,8.0,8.25,8.25,-0.25
Joey Bada$$,2,8.0,8.0,8.25,8.25,-0.25
JPEGMAFIA,5,8.0,7.5,8.1,8.0,-0.09999999999999964
Armand Hammer,2,8.0,8.0,8.0,8.0,0.0
Mustard,1,8.0,8.0,8.0,8.0,0.0
Future,1,8.0,8.0,8.0,8.0,0.0
Childish Gambino,2,8.0,8.0,8.0,8.0,0.0
MF DOOM,4,7.75,7.75,7.75,7.75,0.0
Earl Sweatshirt,1,7.5,7.5,7.5,7.5,0.0
My Chemical Romance,1,7.5,7.5,7.5,7.5,0.0
Gorillaz,1,7.5,7.5,7.5,7.5,0.0
Billie Eilish,3,7.5,7.0,7.5,7.0,0.0
Weezer,1,7.5,7.5,7.0,7.0,0.5
Danny Brown,1,7.5,7.5,7.5,7.5,0.0
Clipse,1,7.5,7.5,7.5,7.5,0.0
Chief Keef,1,7.5,7.5,7.5,7.5,0.0
Tame Impala,1,7.0,7.0,7.0,7.0,0.0
bLAck pARty,1,6.0,6.0,6.0,6.0,0.0
Don Toliver,1,5.5,5.5,5.5,5.5,0.0
Kanye West,1,5.0,5.0,5.0,5.0,0.0
Mario Judah,1,3.0,3.0,3.0,3.0,0.0
Ice Spice,1,2.5,2.5,2.5,2.5,0.0
100 Gecs,1,2.0,2.0,2.0,2.0,0.0
