Album,Artist,Rating
King's Disease 2,Nas,8
King's Disease 3,Nas,8.5
Mm... Food,MF DOOM,7.5
Be,Common,9
Illmatic,Nas,9
Almighty So 2,Chief Keef,7.5
learn 2 swim,Redveil,8.5
Simple.,IDK,8.5
The Battle For Los Angeles,Rage Against The Machine,8
ATLiens,Outkast,8
Currents,Tame Impala,7
The Mouse & The Mask,MF DOOM,8
Hardstone Psycho,Don Toliver,5.5
USEE4YOURSELF,IDK,8.5
OFFLINE!,JPEGMAFIA,9
IDK & FRIENDS :),IDK,9
IDK & FRIENDS 2 (Basketball County Soundtrack),IDK,8.5
Pray For Paris,Westside Gunn,7.5
Renegades,Rage Against The Machine,8.5
Black Ben Carson,JPEGMAFIA,6.5
And Then You Pray For Me,Westside Gunn,9
11th Dimension,Ski Mask The Slump God,9
EP!,JPEGMAFIA,8
EP2!,JPEGMAFIA,8
TEC,Lil Tecca,8.5
Aquemini,Outkast,8.5
1999,Joey Bada$$,8
Stankonia,Outkast,9
Get Rich Or Die Tryin',50 Cent,9.5
2000,Joey Bada$$,8
TESTING,A$AP Rocky,8
Is He Real?,IDK,9.5
Samurai,Lupe Fiasco,9.5
Big Fish Theory,Vince Staples,9
DRILL MUSIC IN ZION,Lupe Fiasco,9
Vince Staples,Vince Staples,8
Dark Times,Vince Staples,8.5
Weezer (Blue Album),Weezer,7
Niagara,Redveil,8.5
#RICHAXXHAITIAN,Mach-Hommy,8.5
The Low End Theory,A Tribe Called Quest,8
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,9
The Lost Boy,Cordae,8.5
The Blueprint,Jay-Z,8
Bittersweet Cry,Redveil,8
Black On Both Sides,Mos Def,9
playing w/ fire,Redveil,8
Atavista,Childish Gambino,8
Ready to Die,The Notorious B.I.G,9
Speakerboxxx/The Love Below,Outkast,8.5
"Laughing so Hard, it Hurts",MAVI,9
4:44,Jay-Z,9.5
Some Rap Songs,Earl Sweatshirt,7.5
By The Time I Get to Phoenix,Injury Reserve,9
Summertime '06,Vince Staples,8.5
Mos Def & Talib Kweli are Black Star,Mos Def,8.5
Only Built 4 Cuban Linx,Raekwon,8
King Of The Mischievous South Vol. 2,Denzel Curry,9
Bando Stone and The New World,Childish Gambino,8
NO HANDS,Joey Valence and Brae,8.5
Cancer 4 Cure,El-P,9
1000 Gecs,100 Gecs,2
Hell Hath No Fury,Clipse,7.5
XXX,Danny Brown,7.5
BRAT,Charli xcx,8.5
Endless Summer,bLAck pARty,6
The Miseducation of Lauryn Hill,Ms. Lauryn Hill,8
The Auditorium Vol. 1,Common,9
LIVE.LOVE.A$AP,A$AP Rocky,8
Faith Of A Mustard Seed,Mustard,8
WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,8.5
Iowa,Slipknot,9
Operation: Doomsday,MF DOOM,7
Plastic Beach,Gorillaz,7.5
We got it from Here... Thank You 4 Your service,A Tribe Called Quest,8.5
Lupe Fiasco's The Cool,Lupe Fiasco,8.5
Take Me To Your Leader,MF DOOM,8.5
WE STILL DON'T TRUST YOU,Future,8
LUV IS RAGE 2,Lil Uzi Vert,8.5
Lasers,Lupe Fiasco,8
Y2K!,Ice Spice,2.5
Happier Than Ever,Billie Eilish,7
Endure,Mario Judah,3
Live from the Dentist Office,Injury Reserve,8.5
Floss,Injury Reserve,9
I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,9
Injury Reserve,Injury Reserve,9
Church,billy woods,8.5
We Buy Diabetic Test Strips,Armand Hammer,8
Michael & The Mighty Midnight Revival,Killer Mike,10
VULTURES 2,Kanye West,5
Aethiopes,billy woods,8.5
Tetsuo & Youth,Lupe Fiasco,9.5
History Will Absolve Me,billy woods,9
HIT ME HARD AND SOFT,Billie Eilish,7
Haram,Armand Hammer,8
The Black Parade,My Chemical Romance,7.5
DROGAS Light,Lupe Fiasco,8
One Day It'll All Make Sense,Common,8.5
DROGAS WAVE,Lupe Fiasco,9
Ride The Lightning,Metallica,9.5
IN DIMES WE TRUST,Mike Dimes,8.5
Lupe Fiasco's Food and Liquor,Lupe Fiasco,8.5
Ultra 85,Logic,9
